,20s,30s,40s,50s,over,married,single,divorced,primary,secondary,tertiary,unknown,housing,loan,y
1320,,,X,,,X,,,,,X,,,,
1321,,,X,,,X,,,,X,,,,,
1322,,X,,,,X,,,,X,,,X,,
1323,,,X,,,X,,,X,,,,X,,
1324,,,X,,,X,,,,,X,,X,,
1325,X,,,,,,X,,,,X,,X,,
1326,,,,X,,X,,,,,,X,X,,
1327,,X,,,,,,X,X,,,,X,,
1328,X,,,,,,X,,,,X,,,,
1329,,X,,,,,X,,,X,,,,,
1330,X,,,,,X,,,,X,,,X,,
1331,,,X,,,X,,,,X,,,,,
1332,,,X,,,X,,,,X,,,X,,X
1333,,X,,,,,X,,,X,,,X,,
1334,,X,,,,,X,,,,X,,,,X
1335,,X,,,,X,,,X,,,,,,
1336,X,,,,,,X,,,X,,,X,X,
1337,,,X,,,,X,,,,X,,,,
1338,,,,X,,X,,,,X,,,,,
1339,,,X,,,,X,,,,X,,,,
1340,,,X,,,X,,,,X,,,,X,
1341,,X,,,,X,,,,X,,,X,,
1342,X,,,,,X,,,,X,,,X,X,X
1343,,,X,,,X,,,,X,,,X,,X
1344,X,,,,,,X,,,X,,,,,X
1345,,,X,,,,,X,,,X,,X,,
1346,,X,,,,X,,,,X,,,X,,
1347,X,,,,,X,,,,,X,,X,,
1348,,X,,,,X,,,,,X,,,X,
1349,,,,,X,X,,,X,,,,,,X
1350,,,,X,,,,X,X,,,,X,,
1351,,,X,,,,,X,,,X,,,,
1352,X,,,,,,X,,,X,,,,,
1353,,,X,,,X,,,,,X,,,,
1354,,,,X,,X,,,X,,,,X,,
1355,X,,,,,,X,,,X,,,,,
1356,,X,,,,,X,,,,X,,,X,
1357,X,,,,,,X,,,X,,,X,,
1358,,,X,,,X,,,,X,,,,,
1359,,X,,,,X,,,X,,,,X,,
1360,,X,,,,,X,,,X,,,X,,
1361,X,,,,,,X,,,,X,,,,
1362,,,X,,,X,,,,X,,,X,,
1363,,,,X,,X,,,,,X,,X,X,
1364,,X,,,,X,,,,,X,,X,,
1365,,X,,,,X,,,X,,,,X,X,
1366,,X,,,,X,,,,,X,,X,,
1367,,,X,,,X,,,,X,,,X,,
1368,,X,,,,,X,,,,X,,,,
1369,,,,,X,,,X,,,,X,,,
1370,,,,X,,,,X,,X,,,X,,
1371,X,,,,,,X,,,X,,,,,
1372,,X,,,,,,X,,,X,,X,,
1373,,,,X,,X,,,X,,,,,,
1374,,,X,,,X,,,,X,,,,,
1375,,X,,,,X,,,,X,,,,,
1376,X,,,,,,X,,,,X,,X,,
1377,,X,,,,X,,,X,,,,X,,
1378,,,X,,,X,,,X,,,,X,,
1379,,,X,,,X,,,,X,,,,,X
1380,,,X,,,X,,,,X,,,X,,
1381,,,,X,,X,,,,X,,,,,
1382,X,,,,,X,,,,X,,,X,,
1383,,X,,,,X,,,,,X,,X,,
1384,,,X,,,X,,,X,,,,X,,
1385,,,X,,,X,,,,X,,,X,,
1386,,,,X,,X,,,,X,,,X,,
1387,X,,,,,,X,,,,X,,X,,
1388,,,,X,,,,X,,X,,,X,,
1389,,,,X,,X,,,,,X,,,X,
1390,,X,,,,X,,,,,,X,X,,
1391,X,,,,,,X,,,X,,,,,
1392,,,,X,,X,,,,X,,,X,,
1393,,,,X,,X,,,X,,,,,,
1394,X,,,,,,X,,,X,,,X,X,
1395,,X,,,,X,,,,,X,,,,X
1396,,X,,,,X,,,,X,,,X,,
1397,,X,,,,X,,,,X,,,X,,
1398,,X,,,,,X,,,X,,,,X,
1399,,X,,,,,X,,,,X,,,,
1400,,X,,,,X,,,,X,,,,,
1401,,,X,,,X,,,,,,X,X,,
1402,,,X,,,,,X,,,X,,X,,
1403,X,,,,,X,,,,X,,,X,,
1404,,,,X,,X,,,,,X,,,,
1405,,X,,,,X,,,X,,,,X,,
1406,,,X,,,,X,,,X,,,,,
1407,,X,,,,,X,,,,X,,X,,
1408,,,X,,,,,X,,,,X,X,,
1409,,X,,,,X,,,,X,,,X,,
1410,,,X,,,,,X,,X,,,X,,
1411,,X,,,,,X,,,X,,,X,,X
1412,,,,X,,,,X,,,,X,,,
1413,,,X,,,X,,,X,,,,X,,
1414,,X,,,,,,X,,X,,,X,,
1415,,,,,X,,,X,X,,,,,,
1416,,X,,,,,X,,,X,,,X,,
1417,,,X,,,X,,,X,,,,X,,
1418,,X,,,,,X,,,X,,,X,,X
1419,,X,,,,,X,,,,X,,X,,
1420,X,,,,,,X,,,,X,,X,,
1421,X,,,,,X,,,,X,,,X,,
1422,,,,,X,X,,,,X,,,,,
1423,,,,X,,,,X,,X,,,X,,
1424,,X,,,,,X,,,,X,,,,
1425,,X,,,,X,,,,,X,,,,X
1426,,X,,,,X,,,,X,,,,X,
1427,,,X,,,X,,,,X,,,X,X,
1428,,,X,,,X,,,,X,,,X,,
1429,,,X,,,X,,,X,,,,X,,
1430,,X,,,,X,,,,X,,,X,,
1431,,,,X,,,X,,,X,,,X,,X
1432,,X,,,,X,,,X,,,,,,
1433,,X,,,,,X,,,X,,,X,,
1434,,X,,,,,X,,,X,,,X,,
1435,,,,,X,X,,,,X,,,,,X
1436,,X,,,,X,,,,,X,,X,,
1437,,,,,X,X,,,,,X,,,,X
1438,,,,X,,X,,,X,,,,,X,
1439,,X,,,,X,,,,X,,,X,X,
1440,,,,X,,,,X,X,,,,,,X
1441,,,X,,,X,,,,,,X,,,
1442,,,,,X,X,,,X,,,,,,
1443,,X,,,,,X,,,X,,,X,,
1444,,,,X,,,,X,X,,,,X,,
1445,,X,,,,X,,,,X,,,X,,
1446,,X,,,,,X,,,,X,,X,,X
1447,,,X,,,X,,,,X,,,X,,
1448,,X,,,,X,,,,X,,,X,,
1449,,X,,,,X,,,,,X,,X,X,X
1450,,,X,,,X,,,,X,,,,,
1451,X,,,,,X,,,,X,,,,,
1452,,,,X,,X,,,,X,,,X,,
1453,,X,,,,X,,,,X,,,X,,
1454,,,X,,,,X,,X,,,,X,,X
1455,,X,,,,X,,,,,X,,,,
1456,,X,,,,X,,,,X,,,X,X,
1457,,X,,,,X,,,,,X,,,,
1458,,X,,,,X,,,,,X,,X,,X
1459,,X,,,,,X,,,X,,,,,
1460,,X,,,,X,,,,,,X,,,
1461,,X,,,,,X,,,,X,,X,,
1462,,X,,,,X,,,,X,,,,,
1463,,,X,,,X,,,,X,,,X,,
1464,,X,,,,X,,,,X,,,,X,X
1465,,X,,,,X,,,,X,,,X,,
1466,,X,,,,X,,,,,X,,,X,
1467,,,,X,,,,X,,X,,,,,X
1468,,X,,,,X,,,,,X,,X,,
1469,,,,X,,X,,,,X,,,,,X
1470,,,,X,,X,,,X,,,,,,
1471,,X,,,,,X,,,,X,,X,,
1472,,,X,,,X,,,,X,,,X,,
1473,,,,X,,X,,,,X,,,X,,
1474,,,X,,,,,X,,X,,,,,
1475,,,,X,,X,,,,,X,,,,
1476,X,,,,,,X,,,X,,,X,,
1477,,X,,,,X,,,,X,,,X,,
1478,,X,,,,,X,,,,X,,X,,
1479,,X,,,,X,,,X,,,,,,
1480,,X,,,,X,,,,,X,,,,
1481,,,X,,,,X,,,X,,,X,,
1482,,X,,,,X,,,,X,,,X,,
1483,,,X,,,,X,,,,X,,X,,
1484,,,X,,,X,,,X,,,,X,X,
1485,X,,,,,,X,,,X,,,,,X
1486,,,X,,,X,,,,X,,,X,,
1487,,X,,,,X,,,X,,,,X,,
1488,,,X,,,X,,,,,X,,,,
1489,X,,,,,,X,,,,X,,,,
1490,X,,,,,,X,,,X,,,,,
1491,,,X,,,X,,,,X,,,X,,
1492,,X,,,,X,,,,,X,,X,,
1493,,X,,,,,X,,,,X,,,X,
1494,X,,,,,,X,,,X,,,,,
1495,,X,,,,X,,,,X,,,X,X,
1496,,,X,,,,X,,,X,,,,,
1497,,,,X,,X,,,,,X,,,X,
1498,,,,X,,,,X,X,,,,,,
1499,,,,X,,X,,,,,X,,,X,
1500,,X,,,,X,,,,X,,,X,,
1501,,,X,,,X,,,,X,,,,,X
1502,,,X,,,X,,,,X,,,,,
1503,,,,X,,X,,,,X,,,X,X,
1504,,,X,,,,,X,,X,,,,,X
1505,,X,,,,X,,,,X,,,,,
1506,,X,,,,,X,,,X,,,,,
1507,,,X,,,X,,,,,X,,,X,
1508,,X,,,,,X,,,X,,,,,
1509,,,X,,,,,X,,X,,,,,X
1510,,,X,,,X,,,,X,,,X,,
1511,,X,,,,,X,,,X,,,,,
1512,X,,,,,,X,,,X,,,,,
1513,,X,,,,X,,,,X,,,X,,
1514,,X,,,,X,,,,X,,,X,X,
1515,,,X,,,X,,,X,,,,X,,
1516,X,,,,,X,,,,,X,,X,,
1517,,,,X,,X,,,,,,X,,,
1518,,X,,,,X,,,,X,,,,,
1519,,,X,,,X,,,,X,,,X,,
1520,,X,,,,X,,,,,X,,,,
1521,,X,,,,X,,,,X,,,X,,
1522,,X,,,,X,,,X,,,,X,X,
1523,,X,,,,,X,,,X,,,X,,
1524,,,X,,,X,,,X,,,,X,X,
1525,,X,,,,,X,,,,,X,X,,
1526,,,,,X,X,,,,X,,,,,
1527,,,,X,,,,X,,X,,,X,,
1528,,X,,,,,X,,,X,,,,,
1529,X,,,,,,X,,,X,,,,,
1530,,,X,,,X,,,,X,,,X,,
1531,,,X,,,X,,,X,,,,X,,
1532,,X,,,,X,,,,X,,,,,X
1533,,X,,,,,X,,,X,,,X,,
1534,,,,X,,,,X,,,X,,X,X,X
1535,,X,,,,X,,,,X,,,X,,
1536,,X,,,,,X,,,X,,,,,
1537,,,X,,,X,,,,,X,,X,,
1538,,,,X,,,,X,,X,,,X,,
1539,,X,,,,X,,,,X,,,X,,
1540,,X,,,,,,X,,X,,,,,
1541,,,X,,,X,,,,X,,,X,,
1542,,,X,,,X,,,,X,,,,,
1543,X,,,,,,X,,,,,X,,,
1544,,X,,,,X,,,,,X,,,X,
1545,,,,X,,X,,,,X,,,X,,
1546,,,,X,,X,,,,X,,,,,
1547,,,,X,,X,,,,,X,,,X,
1548,,X,,,,,X,,,,,X,X,,
1549,,,X,,,X,,,,X,,,X,,
1550,,,X,,,X,,,,X,,,X,,
1551,,X,,,,X,,,X,,,,X,X,
1552,,X,,,,,X,,,,X,,,,
1553,,X,,,,X,,,,X,,,X,,
1554,,X,,,,X,,,,X,,,X,,
1555,,X,,,,X,,,,,X,,X,X,
1556,,,,X,,X,,,X,,,,,X,
1557,X,,,,,,X,,,,X,,,,X
1558,X,,,,,,X,,,X,,,X,,
1559,,X,,,,,X,,,X,,,X,,
1560,,,,X,,X,,,,,X,,X,,
1561,,,,X,,X,,,,,,X,,X,
1562,,,X,,,X,,,X,,,,X,,
1563,,,,X,,X,,,,X,,,,,
1564,X,,,,,,,X,,,,X,X,,
1565,,,X,,,,,X,,X,,,X,X,
1566,,,X,,,X,,,X,,,,X,,
1567,,,,X,,X,,,,,X,,X,,
1568,,,X,,,,X,,,X,,,X,,
1569,,,X,,,,X,,,,,X,,,
1570,,X,,,,X,,,,,X,,,,
1571,,X,,,,X,,,X,,,,X,,
1572,,X,,,,X,,,,X,,,X,,
1573,,,,X,,X,,,,X,,,X,,
1574,,,X,,,,,X,,,,X,,,X
1575,,X,,,,,X,,X,,,,X,,
1576,,,X,,,X,,,,X,,,X,,
1577,,,X,,,X,,,,X,,,X,X,
1578,,,X,,,X,,,,,X,,X,,
1579,,X,,,,X,,,,,X,,,,
1580,,X,,,,X,,,X,,,,X,,
1581,X,,,,,,X,,,,X,,X,,
1582,,,X,,,X,,,X,,,,X,,
1583,X,,,,,X,,,,X,,,X,,
1584,,X,,,,,X,,,,X,,X,,
1585,,,X,,,X,,,,X,,,X,,
1586,,,X,,,,X,,,,X,,,,
1587,,X,,,,,X,,,X,,,X,,
1588,,X,,,,,X,,,,X,,X,,
1589,X,,,,,X,,,,X,,,X,,
1590,,,,X,,X,,,,,,X,,,
1591,,,,,X,X,,,,X,,,,,
1592,X,,,,,,X,,,X,,,X,X,
1593,,,,X,,X,,,,X,,,X,,
1594,,,,,X,,,X,,X,,,X,,
1595,,X,,,,,X,,,X,,,,,
1596,,X,,,,X,,,,X,,,,X,
1597,,X,,,,,X,,,,X,,X,,
1598,,,X,,,,X,,X,,,,X,,
1599,X,,,,,X,,,,,X,,X,,
1600,,X,,,,X,,,,X,,,X,X,
1601,,X,,,,X,,,X,,,,X,,
1602,,,X,,,,,X,,X,,,X,,
1603,,X,,,,X,,,,,,X,,,
1604,,,X,,,,X,,,,X,,X,,X
1605,,,,X,,X,,,,X,,,X,X,
1606,,,X,,,,X,,,,,X,,,
1607,,,X,,,,,X,,,X,,,X,
1608,,X,,,,X,,,X,,,,X,,
1609,,X,,,,,X,,,X,,,,,
1610,,,X,,,X,,,X,,,,X,,
1611,,,X,,,,,X,,,X,,,,X
1612,X,,,,,,,X,,,X,,X,X,
1613,,,,X,,X,,,X,,,,X,,
1614,,,X,,,,X,,,X,,,X,,
1615,,X,,,,X,,,,,X,,X,,
1616,,,,,X,X,,,X,,,,,,
1617,,,X,,,X,,,,,X,,,,
1618,,,,X,,X,,,X,,,,X,,
1619,,X,,,,X,,,,X,,,X,,
1620,,X,,,,X,,,X,,,,X,,
1621,,,,X,,X,,,,X,,,X,,
1622,,,X,,,,X,,X,,,,,X,
1623,,,X,,,X,,,X,,,,,X,
1624,,,,X,,X,,,,X,,,,,
1625,,X,,,,X,,,,X,,,X,,
1626,,,,X,,X,,,,X,,,X,,
1627,,X,,,,X,,,,X,,,X,,
1628,,X,,,,X,,,,X,,,X,X,
1629,,,X,,,X,,,,X,,,X,,
1630,,X,,,,,,X,,,X,,X,,
1631,,X,,,,X,,,,X,,,,,
1632,,,X,,,X,,,,X,,,X,,
1633,,,,X,,X,,,X,,,,,,
1634,,,X,,,,,X,,X,,,,,
1635,,X,,,,X,,,,X,,,X,,
1636,,,,X,,X,,,,X,,,,,
1637,,,X,,,X,,,X,,,,X,,
1638,,X,,,,,X,,,,X,,,,X
1639,X,,,,,,X,,,X,,,X,X,
1640,,X,,,,X,,,,,X,,X,,
1641,X,,,,,,X,,,X,,,,,
1642,,X,,,,X,,,,X,,,X,,
1643,X,,,,,,,X,,X,,,X,,
1644,,X,,,,,,X,,,X,,,,
1645,,,X,,,X,,,,X,,,,,
1646,,X,,,,,X,,,,X,,X,,
1647,,X,,,,X,,,,,X,,X,,
1648,,,,X,,X,,,,,X,,,,
1649,,X,,,,,X,,,X,,,,,
1650,,X,,,,,,X,,X,,,X,,
1651,,,X,,,X,,,X,,,,X,,
1652,X,,,,,,X,,,X,,,X,,
1653,,,,X,,X,,,X,,,,,,X
1654,,,X,,,X,,,X,,,,X,,
1655,,X,,,,,X,,,X,,,,,
1656,,X,,,,X,,,,,X,,X,,
1657,,X,,,,X,,,,,X,,X,X,
1658,,,X,,,X,,,X,,,,X,,
1659,,X,,,,,X,,,X,,,X,,
1660,,,,X,,X,,,,X,,,X,,
1661,,,X,,,,X,,,X,,,X,,
1662,,,,X,,X,,,X,,,,X,,
1663,,,,X,,,,X,X,,,,X,,X
1664,,X,,,,X,,,,X,,,,,
1665,,,,X,,X,,,,X,,,X,,
1666,,X,,,,X,,,,,X,,X,,
1667,,X,,,,X,,,,X,,,X,X,
1668,X,,,,,X,,,,X,,,X,,
1669,,,,,X,X,,,,,X,,X,,
1670,,X,,,,,X,,,X,,,X,,
1671,,X,,,,X,,,X,,,,X,,
1672,,,X,,,,X,,,,,X,,,X
1673,,X,,,,,X,,,X,,,,,
1674,,X,,,,,X,,,,X,,,X,
1675,,X,,,,X,,,X,,,,X,,
1676,,,X,,,X,,,,X,,,X,,
1677,,X,,,,X,,,,,X,,,,
1678,,X,,,,X,,,,X,,,X,,
1679,,X,,,,X,,,,X,,,X,,
1680,,X,,,,,X,,,X,,,,,X
1681,,,,,X,X,,,,,,X,,,
1682,,X,,,,,X,,,,X,,,,
1683,,X,,,,,X,,X,,,,X,X,
1684,,,X,,,,X,,X,,,,X,X,
1685,,X,,,,X,,,,X,,,X,X,
1686,,,X,,,X,,,,X,,,X,,
1687,,,X,,,,,X,,X,,,X,,
1688,,X,,,,X,,,,X,,,X,,
1689,X,,,,,,X,,,,X,,X,,
1690,,,X,,,,X,,,X,,,X,,
1691,,,,X,,,,X,X,,,,,X,
1692,,,X,,,,,X,,,X,,,,
1693,,X,,,,,X,,,X,,,,,X
1694,,,,X,,X,,,,,X,,X,,
1695,,,X,,,X,,,,X,,,,,X
1696,,X,,,,,X,,,,X,,X,,
1697,,X,,,,X,,,,X,,,X,X,
1698,,X,,,,,X,,,,X,,,,X
1699,,,X,,,X,,,,,,X,X,,
1700,,,,X,,X,,,,,X,,X,,
1701,X,,,,,,X,,,X,,,,,
1702,,,,X,,,,X,,X,,,X,,
1703,,,X,,,,,X,,X,,,X,,
1704,,X,,,,,X,,,,X,,X,,X
1705,X,,,,,,X,,,X,,,,,X
1706,,X,,,,,X,,,X,,,X,,X
1707,,X,,,,X,,,,X,,,,X,
1708,,X,,,,X,,,,,X,,X,,
1709,,,X,,,X,,,,X,,,X,,X
1710,,,X,,,X,,,X,,,,X,X,
1711,,X,,,,,X,,,,X,,,,
1712,X,,,,,,X,,,X,,,X,,
1713,,,,X,,X,,,,X,,,,X,
1714,,,,X,,X,,,X,,,,,,
1715,,X,,,,X,,,,X,,,X,,
1716,,,,X,,X,,,X,,,,,,
1717,,X,,,,,X,,,,X,,,X,
1718,,X,,,,X,,,X,,,,,,
1719,,,X,,,X,,,,X,,,X,,X
1720,,X,,,,,X,,,X,,,X,,
1721,,,,,X,X,,,,X,,,,,
1722,,,,X,,X,,,,X,,,X,,
1723,,,X,,,X,,,X,,,,X,,
1724,,X,,,,,,X,,X,,,,,
1725,X,,,,,,X,,,X,,,,,
1726,,,,X,,X,,,X,,,,X,,
1727,,X,,,,X,,,,,X,,,,X
1728,,X,,,,X,,,,,,X,,,
1729,,,,X,,,X,,,X,,,X,,X
1730,,,,X,,X,,,,,X,,X,,
1731,,,,X,,X,,,,X,,,,,
1732,,,X,,,X,,,X,,,,X,,
1733,,,,X,,X,,,,,X,,X,,
1734,,,,X,,X,,,X,,,,,,
1735,,X,,,,X,,,,X,,,X,,
1736,,,X,,,,X,,,X,,,X,,X
1737,,,,X,,X,,,,X,,,,,
1738,,,X,,,,,X,,,X,,,X,
1739,,,X,,,X,,,X,,,,,,X
1740,,X,,,,X,,,,,X,,X,,
1741,,,X,,,X,,,,,X,,,,
1742,,,,X,,X,,,X,,,,,,
1743,,,,X,,X,,,,X,,,,X,
1744,X,,,,,,X,,,X,,,,,
1745,,,,X,,X,,,X,,,,,X,
1746,,,,X,,,X,,,,X,,,,
1747,,X,,,,X,,,,,X,,X,,
1748,,,X,,,X,,,,X,,,X,,X
1749,,,X,,,,X,,,,X,,X,,
1750,,,X,,,,X,,,,X,,,,
1751,,,X,,,,,X,,X,,,X,,
1752,,,X,,,X,,,,,X,,,,
1753,,,,X,,X,,,,X,,,,,
1754,X,,,,,,X,,,,X,,,,X
1755,,X,,,,X,,,,X,,,X,,X
1756,,X,,,,X,,,,,X,,X,,
1757,,,X,,,,X,,,X,,,X,,
1758,,X,,,,X,,,X,,,,,,
1759,X,,,,,,X,,,,X,,X,,
1760,,X,,,,X,,,,X,,,X,,X
1761,,X,,,,X,,,,X,,,X,X,
1762,,X,,,,,X,,,,X,,,,
1763,,,,X,,X,,,,X,,,,,X
1764,X,,,,,,X,,,X,,,,,
1765,,X,,,,,X,,,X,,,,,
1766,,,X,,,X,,,,X,,,X,,
1767,,,,X,,,X,,,,X,,X,,X
1768,,X,,,,,X,,,X,,,X,,
1769,,,,X,,X,,,,,,X,X,,
1770,,X,,,,,X,,,X,,,X,,
1771,,X,,,,X,,,,,X,,X,,
1772,,X,,,,X,,,,,X,,X,,
1773,,X,,,,X,,,,,,X,,,
1774,X,,,,,,X,,,,X,,,,
1775,,X,,,,X,,,,,X,,,,
1776,,,X,,,X,,,,X,,,,,
1777,,,X,,,X,,,,,,X,X,,
1778,,,,X,,X,,,,,X,,,,
1779,,X,,,,,X,,,,X,,X,,
1780,,,,X,,,,X,,,X,,,,
1781,,,X,,,X,,,,,X,,,,
1782,,X,,,,,X,,,X,,,X,,
1783,,X,,,,X,,,,,X,,X,,
1784,,,,X,,X,,,,X,,,X,,
1785,,X,,,,X,,,,X,,,,,
1786,,X,,,,,X,,,X,,,X,,
1787,,X,,,,X,,,,,X,,X,,
1788,,,X,,,X,,,,X,,,X,,
1789,,,X,,,X,,,,X,,,X,,
1790,,,X,,,X,,,,X,,,X,,
1791,,X,,,,X,,,,X,,,X,,
1792,,,,X,,X,,,X,,,,X,,
1793,,X,,,,,,X,,X,,,X,X,
1794,,,,X,,,,X,,X,,,X,X,
1795,,X,,,,,X,,,X,,,,,
1796,,X,,,,X,,,,X,,,,,
1797,,X,,,,,X,,,X,,,,,
1798,,X,,,,X,,,,,X,,,,
1799,,,X,,,X,,,,,X,,,,
1800,,,X,,,X,,,,,X,,X,,
1801,,,X,,,X,,,,X,,,X,,
1802,,X,,,,,X,,,X,,,X,,
1803,,X,,,,,X,,,X,,,X,,
1804,,X,,,,X,,,,X,,,X,,
1805,,,,,X,X,,,,,X,,,,
1806,,,X,,,X,,,,,X,,,,
1807,,X,,,,X,,,,,X,,,,
1808,,,,X,,X,,,,X,,,,,
1809,,,X,,,X,,,,,,X,X,,
1810,X,,,,,X,,,,X,,,X,,
1811,,,X,,,,X,,,X,,,X,,
1812,,,X,,,,,X,,X,,,,,
1813,,,X,,,X,,,,,X,,X,,
1814,,X,,,,X,,,,,X,,,,
1815,,,,X,,X,,,,X,,,,,
1816,,,,X,,X,,,,X,,,,X,
1817,X,,,,,X,,,,X,,,X,,
1818,,,X,,,X,,,,X,,,X,,
1819,,X,,,,,,X,,X,,,X,X,
1820,,,X,,,X,,,,X,,,X,,
1821,,,,X,,X,,,,,,X,,X,
1822,,X,,,,X,,,,,X,,,,X
1823,,X,,,,,,X,,X,,,X,X,
1824,,X,,,,,X,,,X,,,,,
1825,,,,,X,X,,,X,,,,,,
1826,,,X,,,X,,,,X,,,,,
1827,,,,X,,X,,,,,X,,X,,
1828,,X,,,,X,,,,X,,,X,X,
1829,,X,,,,X,,,,X,,,X,,
1830,,X,,,,,X,,,X,,,X,,
1831,,X,,,,,X,,,,X,,,X,
1832,,,X,,,,,X,,X,,,,X,
1833,,X,,,,X,,,X,,,,X,,
1834,,,,X,,X,,,,,X,,X,,
1835,,,X,,,X,,,,,X,,,,
1836,,X,,,,,X,,X,,,,X,,
1837,,X,,,,,,X,,,X,,,,X
1838,,X,,,,X,,,,X,,,X,,
1839,,X,,,,X,,,X,,,,,,
1840,,,X,,,,,X,,X,,,X,,
1841,,,X,,,,X,,,X,,,X,,
1842,,,,X,,,,X,X,,,,,,
1843,,X,,,,X,,,,X,,,X,,
1844,,,,X,,X,,,,,X,,,,X
1845,X,,,,,,X,,,X,,,X,X,
1846,,,,X,,X,,,,X,,,X,,X
1847,,X,,,,,X,,,X,,,,,
1848,,X,,,,X,,,X,,,,X,,
1849,,,,X,,X,,,,,X,,,,
1850,,,,X,,,,X,,,X,,X,,
1851,,X,,,,X,,,X,,,,X,,
1852,,,,X,,X,,,,X,,,X,,
1853,,X,,,,,X,,,X,,,X,X,
1854,,X,,,,,X,,,,X,,,,X
1855,,,X,,,,X,,,X,,,,,
1856,,,X,,,,,X,,,X,,X,,
1857,,X,,,,X,,,,X,,,X,,
1858,,X,,,,X,,,,X,,,X,,
1859,,X,,,,X,,,,X,,,X,,
1860,,,X,,,X,,,,X,,,X,,
1861,X,,,,,,X,,,X,,,X,,
1862,,,X,,,X,,,,X,,,X,,X
1863,,X,,,,,X,,,X,,,X,X,
1864,,X,,,,X,,,,X,,,X,,
1865,,X,,,,X,,,,,X,,,,
1866,,,,,X,X,,,,X,,,,,
1867,,,X,,,X,,,,X,,,,,
1868,,,X,,,X,,,X,,,,X,X,
1869,,,X,,,X,,,,,X,,,X,
1870,X,,,,,,X,,,,,X,,,
1871,,X,,,,,,X,,X,,,X,,
1872,,X,,,,X,,,,X,,,,,X
1873,,,,X,,X,,,X,,,,,,
1874,,,X,,,X,,,,,,X,X,,
1875,,X,,,,,X,,,X,,,,,
1876,X,,,,,,X,,X,,,,X,,X
1877,,,X,,,X,,,,X,,,X,,
1878,,X,,,,,X,,,X,,,X,X,
1879,,X,,,,X,,,,X,,,,,
1880,,,X,,,X,,,,,X,,,X,
1881,,X,,,,X,,,,,X,,X,,
1882,,X,,,,,X,,,X,,,X,,
1883,,X,,,,,X,,,X,,,X,,
1884,,X,,,,X,,,,X,,,X,,
1885,,X,,,,X,,,,,X,,,,
1886,,X,,,,,,X,,X,,,X,,X
1887,,X,,,,X,,,,,,X,X,,
1888,,X,,,,,X,,,X,,,X,,
1889,,,X,,,X,,,,,X,,,,X
1890,,,X,,,X,,,,X,,,X,,
1891,,X,,,,,X,,,,X,,X,X,
1892,X,,,,,X,,,,X,,,,,
1893,,X,,,,,,X,,X,,,X,,
1894,,,,X,,X,,,,,,X,,,
1895,X,,,,,,X,,,X,,,,,
1896,,X,,,,,X,,,,X,,,,
1897,,,X,,,X,,,,,X,,,,
1898,,,,X,,X,,,,,X,,,,
1899,,,X,,,,X,,,,X,,,,X
1900,X,,,,,,X,,,,,X,,,
1901,,X,,,,,X,,,,X,,X,,
1902,,X,,,,,X,,,X,,,,X,
1903,,,,,X,X,,,,X,,,,,
1904,X,,,,,,X,,,,X,,,,X
1905,,,X,,,X,,,,,X,,X,,X
1906,,,X,,,,,X,X,,,,X,,
1907,,,,X,,,,X,,,X,,X,,
1908,,,X,,,,X,,,X,,,X,X,
1909,,X,,,,X,,,,,X,,,,
1910,,,,X,,X,,,,X,,,X,,
1911,X,,,,,X,,,,X,,,X,,
1912,,,,X,,X,,,,X,,,,,
1913,,,X,,,X,,,X,,,,,,X
1914,,X,,,,,X,,,,X,,,X,X
1915,X,,,,,,X,,,,X,,,,X
1916,,,,X,,X,,,,,X,,X,,
1917,,,,X,,X,,,X,,,,X,,X
1918,,,X,,,X,,,,X,,,X,,
1919,,X,,,,X,,,,,X,,X,X,
1920,,,X,,,X,,,,,X,,X,,
1921,,,X,,,X,,,,X,,,X,,
1922,,X,,,,,X,,,X,,,X,X,
1923,,,,,X,X,,,,X,,,,,
1924,,,X,,,,,X,,X,,,X,,
1925,,X,,,,X,,,,X,,,X,,
1926,,X,,,,,X,,,X,,,,,
1927,,,,,X,X,,,X,,,,,,X
1928,X,,,,,,X,,X,,,,,,X
1929,,,X,,,,X,,,,X,,,,
1930,,X,,,,X,,,,X,,,X,X,
1931,,,X,,,X,,,,X,,,,X,
1932,,X,,,,X,,,,X,,,X,,
1933,,,X,,,X,,,X,,,,X,X,
1934,X,,,,,,X,,,X,,,X,,X
1935,,,X,,,X,,,,X,,,,,
1936,,X,,,,,X,,,,X,,,,
1937,,X,,,,,X,,,X,,,X,,
1938,,,X,,,,,X,,X,,,X,X,
1939,,,X,,,X,,,,X,,,X,,
1940,X,,,,,,X,,,X,,,,,X
1941,,,,X,,X,,,X,,,,,,
1942,,,,,X,X,,,,,X,,,,
1943,,,X,,,,,X,,X,,,,,
1944,,,X,,,X,,,,X,,,X,,
1945,,X,,,,,X,,,X,,,X,,
1946,,,X,,,,,X,,X,,,X,,X
1947,,,X,,,X,,,,X,,,X,,
1948,X,,,,,,X,,,,X,,X,,
1949,,,,,X,X,,,,,X,,,,
1950,,,,X,,X,,,X,,,,,,
1951,,,X,,,,X,,,,X,,X,,
1952,,,X,,,,,X,,X,,,X,X,X
1953,,X,,,,,X,,,,X,,,,
1954,,,X,,,X,,,X,,,,,,
1955,,,X,,,,,X,,,X,,X,X,
1956,,,,,X,X,,,X,,,,,,
1957,,X,,,,,X,,,,X,,X,X,
